PULocationID,hour,day_of_week,is_weekend,predicted_total,predicted_long,predicted_long_rate,LocationID,Borough,Zone,recommendation_score
162,4,3,0,8.429611876154546,3.8699708757541784,0.45909241523935945,162,Manhattan,Midtown East,3.8699708757541784
186,4,3,0,16.33482493872501,3.8699708757541784,0.23691535662433877,186,Manhattan,Penn Station/Madison Sq West,3.8699708757541784
263,4,3,0,13.527985024517228,3.865024964287098,0.285705887261287,263,Manhattan,Yorkville West,3.865024964287098
7,4,3,0,7.600365684136088,3.8103565774942156,0.5013385849903784,7,Queens,Astoria,3.8103565774942156
100,4,3,0,10.584747049371375,3.6634297150713313,0.3461046067500405,100,Manhattan,Garment District,3.6634297150713313
137,4,3,0,15.185517263002154,3.550733328078175,0.23382366675971894,137,Manhattan,Kips Bay,3.550733328078175
255,4,3,0,11.441987863262852,3.4663149045858477,0.30294691324706374,255,Brooklyn,Williamsburg (North Side),3.4663149045858477
229,4,3,0,9.256871676028101,3.429940327968055,0.3705290996795755,229,Manhattan,Sutton Place/Turtle Bay North,3.429940327968055
141,4,3,0,12.937998487047127,3.3683212090376276,0.26034329903576825,141,Manhattan,Lenox Hill West,3.3683212090376276
76,4,3,0,4.096029812755138,3.3499106617318786,0.8178433299728859,76,Brooklyn,East New York,3.3499106617318786
129,4,3,0,7.769003700919662,3.3327096127438365,0.4289751609140467,129,Queens,Jackson Heights,3.3327096127438365
116,4,3,0,4.898537860176257,3.228057963691921,0.6589839776344549,116,Manhattan,Hamilton Heights,3.228057963691921
233,4,3,0,6.079072906487436,3.210856914703878,0.5281820047391323,233,Manhattan,UN/Turtle Bay South,3.210856914703878
244,4,3,0,4.576378894377811,3.2007228534912353,0.699400754912011,244,Manhattan,Washington Heights South,3.2007228534912353
142,4,3,0,6.951571999635558,3.027259819753334,0.43547845291856874,142,Manhattan,Lincoln Square East,3.027259819753334
4,4,3,0,11.859218229126956,2.965144795952645,0.25002868980605064,4,Manhattan,Alphabet City,2.965144795952645
232,4,3,0,6.928576646294903,2.965144795952645,0.4279587204304471,232,Manhattan,Two Bridges/Seward Park,2.965144795952645
61,4,3,0,4.589845473688555,2.8115688651505204,0.6125628588735578,61,Brooklyn,Crown Heights North,2.8115688651505204
41,4,3,0,6.928576646294903,2.7385833365039676,0.39525915297024833,41,Manhattan,Central Harlem,2.7385833365039676
113,4,3,0,14.203379360194436,2.7385833365039676,0.19281209542138694,113,Manhattan,Greenwich Village North,2.7385833365039676
239,4,3,0,6.941425820140374,2.6848671317457176,0.3867889971474798,239,Manhattan,Upper West Side South,2.6848671317457176
75,4,3,0,7.723309727683628,2.6152442631221926,0.3386170379452794,75,Manhattan,East Harlem South,2.6152442631221926
256,4,3,0,6.9742706195309365,2.4712115413699025,0.35433261428793067,256,Brooklyn,Williamsburg (South Side),2.4712115413699025
238,4,3,0,6.5793712108725435,2.4237487361916163,0.36838607497724446,238,Manhattan,Upper West Side North,2.4237487361916163
74,4,3,0,5.314296101000485,2.393510568430423,0.45039089334518145,74,Manhattan,East Harlem North,2.393510568430423
226,4,3,0,5.362122698144203,2.3846569756691354,0.4447225678917139,226,Queens,Sunnyside,2.3846569756691354
158,4,3,0,7.723309727683628,2.376309519442381,0.30768020488996795,158,Manhattan,Meatpacking/West Village West,2.376309519442381
236,4,3,0,5.849594412549769,2.3709487020828544,0.40531847763602225,236,Manhattan,Upper East Side North,2.3709487020828544
262,4,3,0,5.891499776694405,2.2538247577123482,0.38255534976476246,262,Manhattan,Yorkville East,2.2538247577123482
140,4,3,0,6.5793712108725435,2.213909923605368,0.3364926301691014,140,Manhattan,Lenox Hill East,2.213909923605368
